,index,County,GeoName,Mother.s.Hispanic.Origin,Year,Births,Total.Population,Birth.Rate,Female.Population,Fertility.Rate,Average.Birth.Weight,Average.Age.of.Mother,Average.LMP.Gestational.Age,lat,long,Precipitation,Temperature,PI,GDP,mrate,trate,GDP_per,female.proportion,Elder_pop,RUCC,bachelor_percentage,Crude.Marriage.Rate
15162,"Yolo County, CA, 2020","Yolo County, CA","Yolo, CA",1,2020,776,70598,10.99,17915,43.32,3317.76,28.68,38.6,38.6866,-121.9016,6.36,63.9,60918,13587572,-10.99,36.64,192.4639791,0.25376073,0.089119275,1,43.1,1.772724648
15163,"Yolo County, CA, 2020","Yolo County, CA","Yolo, CA",2,2020,1090,149130,7.31,37524,29.05,3362.74,31.52,38.89,38.6866,-121.9016,6.36,63.9,60918,13587572,-7.31,40.32,91.11226447,0.251619392,0.089119275,1,43.1,1.772724648
15164,"Yolo County, CA, 2020","Yolo County, CA","Yolo, CA",3,2020,91,NA,NA,NA,NA,3422.92,31.14,39.09,38.6866,-121.9016,6.36,63.9,60918,13587572,NA,NA,NA,NA,0.089119275,1,43.1,1.772724648
12045,"Sandoval County, NM, 2020","Sandoval County, NM","Sandoval, NM",2,2020,723,88680,8.15,14245,50.75,3205.84,29.34,38.49,35.6886,-106.8659,7.85,52.2,47989,3611004,-8.15,39.48,40.71948579,0.160633739,NA,2,31,1.794060989
12046,"Sandoval County, NM, 2020","Sandoval County, NM","Sandoval, NM",1,2020,596,60224,9.9,13026,45.75,3167.18,28.24,38.55,35.6886,-106.8659,7.85,52.2,47989,3611004,-9.9,37.73,59.95955101,0.216292508,NA,2,31,1.794060989
12047,"Sandoval County, NM, 2020","Sandoval County, NM","Sandoval, NM",3,2020,NA,NA,NA,NA,NA,2652,34,37,35.6886,-106.8659,7.85,52.2,47989,3611004,NA,NA,NA,NA,NA,2,31,1.794060989
2825,"Contra Costa County, CA, 2020","Contra Costa County, CA","Contra Costa, CA",1,2020,4066,302831,13.43,68709,59.18,3322.83,29.45,38.78,37.9191,-121.9277,7.23,62.8,88910,76705181,-13.43,34.2,253.2936886,0.226888925,0.113800438,1,44.1,1.915155213
2826,"Contra Costa County, CA, 2020","Contra Costa County, CA","Contra Costa, CA",2,2020,7441,849502,8.76,151320,49.17,3293.47,32.3,38.7,37.9191,-121.9277,7.23,62.8,88910,76705181,-8.76,38.87,90.29429124,0.178127891,0.113800438,1,44.1,1.915155213
2827,"Contra Costa County, CA, 2020","Contra Costa County, CA","Contra Costa, CA",3,2020,253,NA,NA,NA,NA,3268.42,33.34,38.35,37.9191,-121.9277,7.23,62.8,88910,76705181,NA,NA,NA,NA,0.113800438,1,44.1,1.915155213
12850,"Solano County, CA, 2020","Solano County, CA","Solano, CA",1,2020,1762,124120,14.2,27709,63.59,3376.04,28.82,38.86,38.27,-121.9329,6.51,63.2,58406,24020822,-14.2,33.43,193.5290203,0.223243635,0.111047468,2,27.8,2.124508578
12851,"Solano County, CA, 2020","Solano County, CA","Solano, CA",2,2020,2994,322815,9.27,57836,51.77,3308.02,30.62,38.75,38.27,-121.9329,6.51,63.2,58406,24020822,-9.27,38.36,74.41048898,0.179161439,0.111047468,2,27.8,2.124508578
12852,"Solano County, CA, 2020","Solano County, CA","Solano, CA",3,2020,201,NA,NA,NA,NA,3323.68,30.51,38.9,38.27,-121.9329,6.51,63.2,58406,24020822,NA,NA,NA,NA,0.111047468,2,27.8,2.124508578
11898,"San Joaquin County, CA, 2020","San Joaquin County, CA","San Joaquin, CA",1,2020,4807,324963,14.79,72877,65.96,3325.12,28.33,38.68,37.9348,-121.2714,6.6,64.5,51766,28417585,-14.79,32.84,87.44867877,0.224262454,0.088977782,2,19.5,2.125091313
11899,"San Joaquin County, CA, 2020","San Joaquin County, CA","San Joaquin, CA",2,2020,4438,443004,10.02,83060,53.43,3266.62,30.03,38.6,37.9348,-121.2714,6.6,64.5,51766,28417585,-10.02,37.61,64.14746819,0.187492664,0.088977782,2,19.5,2.125091313
11900,"San Joaquin County, CA, 2020","San Joaquin County, CA","San Joaquin, CA",3,2020,445,NA,NA,NA,NA,3199.2,29.44,38.36,37.9348,-121.2714,6.6,64.5,51766,28417585,NA,NA,NA,NA,0.088977782,2,19.5,2.125091313
