,index,County,Mother.s.Hispanic.Origin,Year,Average.Birth.Weight,Average.Age.of.Mother,Average.LMP.Gestational.Age,lat,long,Precipitation,Temperature,PI,trate,GDP_per,female.proportion,Elder_pop,RUCC,bachelor_percentage,lat_s,long_s,Crude.Marriage.Rate
1,"Ada County, ID, 2003","Ada County, ID",1,2003,0.206303879,-0.168359052,0.240923453,43.4511,-116.2412,-1.868657789,-0.416213362,-0.703220672,29.84,0.791125913,0.901408931,-0.054412334,0.14149734,0.141448416,1.224425302,-1.785500831,0.923336363
2,"Ada County, ID, 2003","Ada County, ID",2,2003,0.284917492,0.153097098,0.228498601,43.4511,-116.2412,-1.868657789,-0.416213362,-0.703220672,32.23,-0.584192423,0.208479255,-0.054412334,0.14149734,0.141448416,1.224425302,-1.785500831,0.923336363
3,"Ada County, ID, 2003","Ada County, ID",3,2003,0.194937371,0.2101041,0.264530673,43.4511,-116.2412,-1.868657789,-0.416213362,-0.703220672,NA,NA,NA,-0.054412334,0.14149734,0.141448416,1.224425302,-1.785500831,0.923336363
4,"Ada County, ID, 2004","Ada County, ID",1,2004,0.205522431,-0.192111969,0.222286174,43.4511,-116.2412,-1.835688639,-0.599150694,-0.561968636,29.43,0.807811719,0.810168518,-0.049508983,0.14149734,0.141448416,1.224425302,-1.785500831,0.895851542
5,"Ada County, ID, 2004","Ada County, ID",2,2004,0.273664649,0.140428875,0.224771145,43.4511,-116.2412,-1.835688639,-0.599150694,-0.561968636,32.58,-0.578742094,0.125581846,-0.049508983,0.14149734,0.141448416,1.224425302,-1.785500831,0.895851542
6,"Ada County, ID, 2004","Ada County, ID",3,2004,0.162116578,0.132511236,0.234711027,43.4511,-116.2412,-1.835688639,-0.599150694,-0.561968636,NA,NA,NA,-0.049508983,0.14149734,0.141448416,1.224425302,-1.785500831,0.895851542
7,"Ada County, ID, 2005","Ada County, ID",1,2005,0.25346068,-0.079681493,0.22601363,43.4511,-116.2412,-1.719985583,-0.696717271,-0.496517339,24.89,0.845116306,0.877561836,-0.033275816,0.14149734,0.141448416,1.224425302,-1.785500831,0.813397074
8,"Ada County, ID, 2005","Ada County, ID",2,2005,0.267313612,0.15151357,0.219801204,43.4511,-116.2412,-1.719985583,-0.696717271,-0.496517339,32.61,-0.572429322,0.054247936,-0.033275816,0.14149734,0.141448416,1.224425302,-1.785500831,0.813397074
9,"Ada County, ID, 2005","Ada County, ID",3,2005,0.351439982,0.322534576,0.299320261,43.4511,-116.2412,-1.719985583,-0.696717271,-0.496517339,NA,NA,NA,-0.033275816,0.14149734,0.141448416,1.224425302,-1.785500831,0.813397074
10,"Ada County, ID, 2006","Ada County, ID",1,2006,0.24881462,-0.130354384,0.211103807,43.4511,-116.2412,-1.783435646,-0.574759049,-0.287101738,24.73,0.679454911,0.839285437,-0.017210954,0.14149734,0.141448416,1.224425302,-1.785500831,0.703457786
11,"Ada County, ID, 2006","Ada County, ID",2,2006,0.26877705,0.145179459,0.219801204,43.4511,-116.2412,-1.783435646,-0.574759049,-0.287101738,32.46,-0.576355026,-0.033609813,-0.017210954,0.14149734,0.141448416,1.224425302,-1.785500831,0.703457786
12,"Ada County, ID, 2006","Ada County, ID",3,2006,0.401111623,0.309866353,0.448418492,43.4511,-116.2412,-1.783435646,-0.574759049,-0.287101738,NA,NA,NA,-0.017210954,0.14149734,0.141448416,1.224425302,-1.785500831,0.703457786
13,"Ada County, ID, 2007","Ada County, ID",1,2007,0.266674246,-0.185777858,0.258318247,43.4511,-116.2412,-2.002400568,-0.513779939,-0.286173857,25.24,0.569326326,0.854774641,-0.020075846,0.14149734,0.141448416,1.224425302,-1.785500831,0.675972964
14,"Ada County, ID, 2007","Ada County, ID",2,2007,0.295843548,0.162598265,0.238438483,43.4511,-116.2412,-2.002400568,-0.513779939,-0.286173857,32.73,-0.578438947,-0.088277893,-0.020075846,0.14149734,0.141448416,1.224425302,-1.785500831,0.675972964
15,"Ada County, ID, 2007","Ada County, ID",3,2007,0.360220609,-0.640250345,0.158919426,43.4511,-116.2412,-2.002400568,-0.513779939,-0.286173857,NA,NA,NA,-0.020075846,0.14149734,0.141448416,1.224425302,-1.785500831,0.675972964
16,"Ada County, ID, 2008","Ada County, ID",3,2008,0.220881426,0.119843014,0.207376351,43.4511,-116.2412,-1.964454943,-0.745500559,-0.359190953,NA,NA,NA,-0.006892165,0.14149734,0.141448416,1.224425302,-1.785500831,0.538548854
17,"Ada County, ID, 2008","Ada County, ID",1,2008,0.183997106,-0.035342714,0.254590791,43.4511,-116.2412,-1.964454943,-0.745500559,-0.359190953,26.19,0.55932515,0.787564959,-0.006892165,0.14149734,0.141448416,1.224425302,-1.785500831,0.538548854
18,"Ada County, ID, 2008","Ada County, ID",2,2008,0.309298652,0.200602933,0.271985585,43.4511,-116.2412,-1.964454943,-0.745500559,-0.359190953,33.74,-0.576000511,-0.174461214,-0.006892165,0.14149734,0.141448416,1.224425302,-1.785500831,0.538548854
19,"Ada County, ID, 2009","Ada County, ID",3,2009,0.300276486,0.404878023,0.265773159,43.4511,-116.2412,-1.837554817,-0.733304737,-0.483955258,NA,NA,NA,0.048468806,0.14149734,0.537581634,1.224425302,-1.785500831,0.37363992
20,"Ada County, ID, 2009","Ada County, ID",2,2009,0.334702798,0.218021739,0.24962085,43.4511,-116.2412,-1.837554817,-0.733304737,-0.483955258,34.67,-0.580540435,-0.27261824,0.048468806,0.14149734,0.537581634,1.224425302,-1.785500831,0.37363992
21,"Ada County, ID, 2009","Ada County, ID",1,2009,0.222771108,-0.084432077,0.260803218,43.4511,-116.2412,-1.837554817,-0.733304737,-0.483955258,30.92,0.469328168,0.773107575,0.048468806,0.14149734,0.537581634,1.224425302,-1.785500831,0.37363992
22,"Ada County, ID, 2010","Ada County, ID",3,2010,0.567346806,-0.165191996,0.269500614,43.4511,-116.2412,-1.624188429,-0.684521449,-0.442271989,NA,NA,NA,0.081244651,0.14149734,0.537581634,1.224425302,-1.785500831,0.308952101
23,"Ada County, ID, 2010","Ada County, ID",2,2010,0.297761646,0.22435585,0.248378365,43.4511,-116.2412,-1.624188429,-0.684521449,-0.442271989,35.15,-0.580787732,-0.34162423,0.081244651,0.14149734,0.537581634,1.224425302,-1.785500831,0.308952101
24,"Ada County, ID, 2010","Ada County, ID",1,2010,0.242605665,0.031165455,0.252105821,43.4511,-116.2412,-1.624188429,-0.684521449,-0.442271989,29.93,0.437571522,0.767884245,0.081244651,0.14149734,0.537581634,1.224425302,-1.785500831,0.308952101
25,"Ada County, ID, 2011","Ada County, ID",3,2011,0.4302383,0.230689962,0.269500614,43.4511,-116.2412,-1.828845985,-0.830871314,-0.351910656,NA,NA,NA,-1.066107101,0.14149734,0.537581634,1.224425302,-1.785500831,0.205609489
26,"Ada County, ID, 2011","Ada County, ID",2,2011,0.334873296,0.275028741,0.237195998,43.4511,-116.2412,-1.828845985,-0.830871314,-0.351910656,35.11,-0.582400889,-0.399723198,-1.066107101,0.14149734,0.537581634,1.224425302,-1.785500831,0.205609489
27,"Ada County, ID, 2011","Ada County, ID",1,2011,0.268251349,0.034332511,0.22601363,43.4511,-116.2412,-1.828845985,-0.830871314,-0.351910656,30.7,0.380627875,0.834647707,-1.066107101,0.14149734,0.537581634,1.224425302,-1.785500831,0.205609489
