ID,lat,long,County_Name,Mother.s.Hispanic.Origin,Year,Female.propotion,RUCC,eld_proportion,trate,race,rate,lat_s,long_s,Average.Birth.Weight_s,Average.Age.of.Mother_s,Average.LMP.Gestational.Age_s,PI_s,GDP_per_s,Precipitation_s,Temperature_s,edu_s,marriage_rate_s,Female.propotion_s,eld_proportion_s
1,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2010,0.203262361,2,0.140323423,35.15,0,0.15,1.006616923,-1.869090723,0.528859446,-0.092141527,0.632878458,-0.464149959,0.08885646,-1.611569869,-0.646866288,0.504534016,0.433390748,0.173109039,0.021718304
2,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2011,0.201549156,2,0.073363687,35.11,0,0.11,1.006616923,-1.869090723,0.906675451,0.099982759,0.289312087,-0.379906777,0.083064684,-1.811520502,-0.781658695,0.504534016,0.370895295,0.119372612,-1.091703885
3,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2012,0.201653176,2,0.075101158,35.46,0,0.46,1.006616923,-1.869090723,0.714295939,0.045947803,0.098441881,-0.267515993,0.036993584,-1.840692631,-0.455910378,0.504534016,0.212745246,0.122635306,-1.06281281
4,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2013,0.200351038,2,0.078216374,35.99,0,0.99,1.006616923,-1.869090723,0.755230828,0.232068205,0.098441881,-0.174222991,0.088571498,-2.031526973,-0.725495192,0.504534016,0.170363765,0.081792416,-1.011012268
5,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2014,0.198545959,2,0.08110433,35.88,0,0.88,1.006616923,-1.869090723,0.883532051,0.268091508,0.327486128,-0.014919534,0.150898338,-1.590298525,-0.500841181,0.504534016,0.185415912,0.025174267,-0.962990658
6,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2015,0.197400634,2,0.083098076,36.09,0,1.09,1.006616923,-1.869090723,0.802240859,0.460215794,0.327486128,0.117367547,0.124632515,-1.843123641,-0.354816073,0.504534016,0.083273715,-0.010750022,-0.929838182
7,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2016,0.195762114,2,0.086307339,36.55,0,1.55,1.006616923,-1.869090723,0.845924026,0.562281821,0.632878458,0.172198812,0.18040302,-1.984122264,-0.48960848,1.010609311,0.021038869,-0.062143878,-0.876473805
8,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2017,0.19594066,2,0.091576409,37.34,0,2.34,1.006616923,-1.869090723,0.710824429,0.556277937,0.861922705,0.308278833,0.19919859,-1.605492342,-0.624400887,1.010609311,-0.107653072,-0.0565436,-0.788858473
9,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2018,0.196690571,2,0.096213517,37.65,0,2.65,1.006616923,-1.869090723,0.492987176,0.712378919,0.747400581,0.463988979,0.305530244,-1.939756318,-0.534539282,1.010609311,-0.158786451,-0.033021875,-0.711751554
10,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2019,0.196694072,2,0.100922711,37.69,0,2.69,1.006616923,-1.869090723,0.574712308,0.868479901,0.785574622,0.621761951,0.317524479,-1.700301761,-0.669331689,1.010609311,-0.301882472,-0.032912062,-0.633445972
11,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2020,0.196772914,2,0.103789325,38.17,0,3.17,1.006616923,-1.869090723,0.442650281,0.874483785,0.632878458,0.895252848,0.261512881,-1.73859018,-0.557004684,1.010609311,-0.370804032,-0.030439102,-0.585779243
12,39.8715,-77.2179,Adams County,Not Hispanic or Latino,2014,0.17349248,3,0.121960141,38.56,0,3.56,0.288081845,0.712904738,0.034747856,-0.440366795,0.442008252,-0.172359792,-0.544702496,NA,NA,-0.994948339,0.646311856,-0.76065372,-0.283630654
13,39.8715,-77.2179,Adams County,Not Hispanic or Latino,2015,0.170764726,3,0.124496922,38.15,0,3.15,0.288081845,0.712904738,0.793562084,-0.176195902,0.594704416,-0.053713985,-0.513655075,NA,NA,-0.994948339,0.594180451,-0.846212514,-0.241448465
14,39.8715,-77.2179,Adams County,Not Hispanic or Latino,2016,0.169352294,3,0.126415113,39.03,0,4.03,0.288081845,0.712904738,0.103020886,-0.122160947,0.136615923,-0.016516561,-0.503888781,NA,NA,-0.554475397,0.628055771,-0.890514888,-0.209552335
