ID,lattitude,longitude,County_Name,Mother.s.Hispanic.Origin,Year,Female.propotion,Average.Birth.Weight,Average.Age.of.Mother,Average.LMP.Gestational.Age,PI,RUCC,bachelor_percentage,GDP_per,eld_proportion,marriage_rate,Precipitation,Temperature,trate,race
1,43.4511,-116.2412,Ada County,Hispanic or Latino,2003,0.239916551,3260.89,25.98,38.77,34891,2,31.2,48.39278176,0.132244733,9.487037035,11.47,53.8,29.84,1
2,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2003,0.219483648,3316.22,28.01,38.67,34891,2,31.2,48.39278176,0.132244733,9.487037035,11.47,53.8,32.23,0
3,43.4511,-116.2412,Ada County,Hispanic or Latino,2004,0.237226081,3260.34,25.83,38.62,36870,2,31.2,51.49802643,0.132536739,9.4,12,52.3,29.43,1
4,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2004,0.217039194,3308.3,27.93,38.64,36870,2,31.2,51.49802643,0.132536739,9.4,12,52.3,32.58,0
5,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2005,0.214935721,3303.83,28,38.6,37787,2,31.2,55.11505785,0.133503462,9.138888887,13.86,51.5,32.61,0
6,43.4511,-116.2412,Ada County,Hispanic or Latino,2005,0.239213355,3294.08,26.54,38.65,37787,2,31.2,55.11505785,0.133503462,9.138888887,13.86,51.5,24.89,1
7,43.4511,-116.2412,Ada County,Hispanic or Latino,2006,0.238084672,3290.81,26.22,38.53,40721,2,31.2,52.55317498,0.134460162,8.790740739,12.84,52.5,24.73,1
8,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2006,0.212344998,3304.86,27.96,38.6,40721,2,31.2,52.55317498,0.134460162,8.790740739,12.84,52.5,32.46,0
9,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2007,0.210732962,3323.91,28.07,38.75,40734,2,31.2,51.11908048,0.134289551,8.703703704,9.32,53,32.73,0
10,43.4511,-116.2412,Ada County,Hispanic or Latino,2007,0.238541413,3303.38,25.87,38.91,40734,2,31.2,51.11908048,0.134289551,8.703703704,9.32,53,25.24,1
11,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2008,0.208191614,3333.38,28.31,39.02,39711,2,31.2,52.42973148,0.13507467,8.268518522,9.93,51.1,33.74,0
12,43.4511,-116.2412,Ada County,Hispanic or Latino,2008,0.236559554,3245.19,26.82,38.88,39711,2,31.2,52.42973148,0.13507467,8.268518522,9.93,51.1,26.19,1
13,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2009,0.205297189,3351.26,28.42,38.84,37963,2,35.3,49.6796182,0.138371545,7.746296296,11.97,51.2,34.67,0
14,43.4511,-116.2412,Ada County,Hispanic or Latino,2009,0.236133239,3272.48,26.51,38.93,37963,2,35.3,49.6796182,0.138371545,7.746296296,11.97,51.2,30.92,1
15,43.4511,-116.2412,Ada County,Hispanic or Latino,2010,0.235979215,3286.44,27.24,38.86,38547,2,35.3,49.44596231,0.140323423,7.541447377,15.4,51.6,29.93,1
16,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2010,0.203262361,3325.26,28.46,38.83,38547,2,35.3,49.44596231,0.140323423,7.541447377,15.4,51.6,35.15,0
17,43.4511,-116.2412,Ada County,Hispanic or Latino,2011,0.237947916,3304.49,27.26,38.65,39813,2,35.3,49.3024158,0.073363687,7.351240182,12.11,50.4,30.7,1
18,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2011,0.201549156,3351.38,28.78,38.74,39813,2,35.3,49.3024158,0.073363687,7.351240182,12.11,50.4,35.11,0
19,43.4511,-116.2412,Ada County,Hispanic or Latino,2012,0.237564153,3304.39,27.23,38.62,41502,2,35.3,48.16056479,0.075101158,6.869904725,11.63,53.3,32.36,1
20,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2012,0.201653176,3338.08,28.69,38.69,41502,2,35.3,48.16056479,0.075101158,6.869904725,11.63,53.3,35.46,0
21,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2013,0.200351038,3340.91,29,38.69,42904,2,35.3,49.43889965,0.078216374,6.740915139,8.49,50.9,35.99,0
22,43.4511,-116.2412,Ada County,Hispanic or Latino,2013,0.236717752,3320.63,27.67,38.85,42904,2,35.3,49.43889965,0.078216374,6.740915139,8.49,50.9,31.83,1
23,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2014,0.198545959,3349.78,29.06,38.75,45298,2,35.3,50.98364169,0.08110433,6.786726899,15.75,52.9,35.88,0
24,43.4511,-116.2412,Ada County,Hispanic or Latino,2014,0.238760724,3313.05,27.94,38.61,45298,2,35.3,50.98364169,0.08110433,6.786726899,15.75,52.9,32.75,1
25,43.4511,-116.2412,Ada County,Hispanic or Latino,2015,0.238734199,3296.09,28.12,38.82,47286,2,35.3,50.33265535,0.083098076,6.475853389,11.59,54.2,33,1
26,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2015,0.197400634,3344.16,29.38,38.75,47286,2,35.3,50.33265535,0.083098076,6.475853389,11.59,54.2,36.09,0
27,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2016,0.195762114,3347.18,29.55,38.83,48110,2,40.7,51.71490165,0.086307339,6.286439361,9.27,53,36.55,0
28,43.4511,-116.2412,Ada County,Hispanic or Latino,2016,0.240501393,3286.19,28.34,38.65,48110,2,40.7,51.71490165,0.086307339,6.286439361,9.27,53,33.34,1
29,43.4511,-116.2412,Ada County,Hispanic or Latino,2017,0.242008039,3326.44,27.93,38.9,50155,2,40.7,52.1807412,0.091576409,5.894760735,15.5,51.8,33.92,1
30,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2017,0.19594066,3337.84,29.54,38.89,50155,2,40.7,52.1807412,0.091576409,5.894760735,15.5,51.8,37.34,0
31,43.4511,-116.2412,Ada County,Hispanic or Latino,2018,0.244114034,3235.28,28,38.56,52495,2,40.7,54.81612231,0.096213517,5.739134428,10,52.6,33.53,1
32,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2018,0.196690571,3322.78,29.8,38.86,52495,2,40.7,54.81612231,0.096213517,5.739134428,10,52.6,37.65,0
33,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2019,0.196694072,3328.43,30.06,38.87,54866,2,40.7,55.11339391,0.100922711,5.303616456,13.94,51.4,37.69,0
34,43.4511,-116.2412,Ada County,Hispanic or Latino,2019,0.247484468,3297.88,28.64,38.82,54866,2,40.7,55.11339391,0.100922711,5.303616456,13.94,51.4,34.5,1
35,43.4511,-116.2412,Ada County,Hispanic or Latino,2020,0.247804991,3267.38,28.44,38.73,58976,2,40.7,53.72517224,0.103789325,5.093851168,13.31,52.4,33.81,1
36,43.4511,-116.2412,Ada County,Not Hispanic or Latino,2020,0.196772914,3319.3,30.07,38.83,58976,2,40.7,53.72517224,0.103789325,5.093851168,13.31,52.4,38.17,0
